County,One Dose,Two Doses,Booster,Population,NC Population,Total Two Dose,Total Booster
Alamance,105623,100765,50895,169509,10488084,6489215,3404162
Alexander,17628,16615,8472,37497,,,
Alleghany,6949,6505,3502,11137,,,
Anson,12334,11488,5548,24446,,,
Ashe,15864,14886,8603,27203,,,
Avery,10004,9377,5231,17557,,,
Beaufort,27307,25780,13581,46994,,,
Bertie,10984,10184,4864,18947,,,
Bladen,24284,21038,7392,32722,,,
Brunswick,94082,89824,58783,142820,,,
Buncombe,180335,172440,104739,261191,,,
Burke,44338,42028,21182,90485,,,
Cabarrus,127913,120644,60316,216453,,,
Caldwell,41063,39048,19683,82178,,,
Camden,6691,5807,2045,10867,,,
Carteret,48406,45057,22262,69473,,,
Caswell,11485,10704,5793,22604,,,
Catawba,90328,86413,43065,159551,,,
Chatham,47250,43811,28229,74470,,,
Cherokee,14022,13192,6898,28612,,,
Chowan,8715,7869,4305,13943,,,
Clay,5596,5252,3027,11231,,,
Cleveland,52569,49489,24001,97947,,,
Columbus,25570,23848,10676,55508,,,
Craven,67847,63978,29651,102139,,,
Cumberland,233561,202842,66037,335509,,,
Currituck,13668,12227,5139,27763,,,
Dare,28159,26994,14848,37009,,,
Davidson,87397,81435,40688,167609,,,
Davie,25640,24596,13697,42846,,,
Duplin,29686,27161,10854,58741,,,
Durham,240543,228494,144910,321488,,,
Edgecombe,26646,24618,11439,51472,,,
Forsyth,252464,237133,123730,382295,,,
Franklin,39937,37627,19337,69685,,,
Gaston,120368,112398,54243,224529,,,
Gates,4939,4617,2176,11562,,,
Graham,4285,3928,1856,8441,,,
Granville,40098,37707,19445,60443,,,
Greene,15399,13717,5421,21069,,,
Guilford,347610,329932,172745,537174,,,
Halifax,28807,26864,13314,50010,,,
Harnett,64077,58551,24737,135976,,,
Haywood,37671,35713,20874,62317,,,
Henderson,72143,69196,41751,117417,,,
Hertford,12142,11327,5771,23677,,,
Hoke,26570,23086,8472,55234,,,
Hyde,3436,3319,1866,4937,,,
Iredell,101014,96456,50110,181806,,,
Jackson,25491,23473,12137,43938,,,
Johnston,121056,113288,54095,209339,,,
Jones,5664,5186,2576,9419,,,
Lee,36499,34054,16089,61779,,,
Lenoir,32864,30869,15131,55949,,,
Lincoln,44960,42896,22046,86111,,,
Macon,22090,21093,10827,35858,,,
Madison,12802,12296,6544,21755,,,
Martin,11792,11002,5038,22440,,,
Mcdowell,25186,23741,10553,45756,,,
Mecklenburg,748921,706016,374928,1110356,,,
Missing,267433,246281,163283,0,,,
Mitchell,7747,7229,3642,14964,,,
Montgomery,12608,11845,5444,27173,,,
Moore,62629,58340,34073,100880,,,
Nash,57434,54243,26417,94298,,,
New Hanover,156219,148754,85332,234473,,,
Northampton,9419,8754,4385,19483,,,
Onslow,133529,120807,30024,197938,,,
Orange,116999,113552,76686,148476,,,
Out of State,114241,104907,48550,0,,,
Pamlico,7443,7093,4013,12726,,,
Pasquotank,23008,21011,10006,39824,,,
Pender,34611,32438,15763,63060,,,
Perquimans,6644,6141,3377,13463,,,
Person,23464,22371,12346,39490,,,
Pitt,102857,96833,45234,180742,,,
Polk,9252,8785,3666,20724,,,
Randolph,66694,63301,29948,143667,,,
Richmond,23354,21568,9781,44829,,,
Robeson,61430,55678,22639,130625,,,
Rockingham,48852,46427,23509,91010,,,
Rowan,66976,62415,28127,142088,,,
Rutherford,30041,28109,14067,67029,,,
Sampson,35613,32940,14695,63531,,,
Scotland,18458,17182,8039,34823,,,
Stanly,29683,27992,14169,62806,,,
Stokes,22788,21543,11068,45591,,,
Surry,37796,35921,17294,71783,,,
Swain,9482,8145,4136,14271,,,
Transylvania,19716,19067,12201,34385,,,
Tyrrell,2060,1968,929,4016,,,
Union,138503,133020,68912,239859,,,
Vance,27956,25683,12051,44535,,,
Wake,849164,816883,480570,1111761,,,
Warren,11480,10873,5903,19731,,,
Washington,6474,5908,3174,11580,,,
Watauga,33475,31475,18254,56177,,,
Wayne,65457,60733,26468,123131,,,
Wilkes,34255,31966,14563,68412,,,
Wilson,45828,43377,21063,81801,,,
Yadkin,19521,18629,8923,37667,,,
Yancey,9656,9134,5271,18069,,,
